,player,nation_x,pos_x,squad_x,comp_x,age_x,mp_x,starts_x,min_x,90s_x,gls_x,ast_x,g&a_x,g_pk_x,pk_x,pkatt_x,crdy_x,crdr_x,xg_x,npxg_x,xag_x,npxg&xag_x,prgc_x,prgp_x,prgr_x,gls_x,ast_x,g&a_x,g_pk_x,g&a_pk_x,xg_x,xag_x,xg&xag_x,npxg_x,npxg&xag_x,agg_pos_x,nation_y,pos_y,squad_y,comp_y,age_y,mp_y,starts_y,min_y,90s_y,gls_y,ast_y,g&a_y,g_pk_y,pk_y,pkatt_y,crdy_y,crdr_y,xg_y,npxg_y,xag_y,npxg&xag_y,prgc_y,prgp_y,prgr_y,gls_y,ast_y,g&a_y,g_pk_y,g&a_pk_y,xg_y,xag_y,xg&xag_y,npxg_y,npxg&xag_y,agg_pos_y,mp_diff,starts_diff,min_diff
39,Matt Doherty,IRL,DF,Atlético Madrid, La Liga,30,2.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,IRL,"DF,MF",Tottenham, Premier League,30,12.0,7.0,667.0,7.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.0,16.0,20.0,57.0,0.13,0.0,0.13,0.13,0.13,0.1,0.04,0.14,0.1,0.14,DF,-10.0,-7.0,-649.0
40,Kasper Dolberg,DEN,"FW,MF",Hoffenheim, Bundesliga,24,13.0,4.0,402.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,4.0,4.0,20.0,0.22,0.0,0.22,0.22,0.22,0.11,0.1,0.21,0.11,0.21,FW,DEN,FW,Sevilla, La Liga,24,4.0,2.0,197.0,2.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.0,2.0,9.0,0.0,0.46,0.46,0.0,0.46,0.02,0.18,0.2,0.02,0.2,FW,9.0,2.0,205.0
41,Ondrej Duda,SVK,MF,Köln, Bundesliga,27,13.0,9.0,689.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.7,1.4,12.0,40.0,33.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.18,0.1,0.18,MF,SVK,MF,Hellas Verona, Serie A,27,15.0,11.0,1061.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.3,1.1,15.0,44.0,22.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,MF,-2.0,-2.0,-372.0
42,Ederson,BRA,MF,Atalanta, Serie A,23,35.0,25.0,2215.0,24.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.3,4.2,37.0,93.0,62.0,0.04,0.04,0.08,0.04,0.08,0.08,0.09,0.17,0.08,0.17,MF,BRA,GK,Manchester City, Premier League,28,35.0,35.0,3150.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,GK,0.0,-10.0,-935.0
43,Kingsley Ehizibue,NED,DF,Köln, Bundesliga,27,1.0,1.0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,DF,NED,DF,Udinese, Serie A,27,27.0,16.0,1535.0,17.1,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,2.0,2.0,0.9,3.0,29.0,40.0,69.0,0.12,0.0,0.12,0.12,0.12,0.12,0.06,0.17,0.12,0.17,DF,-26.0,-15.0,-1474.0
44,Adri Embarba,ESP,FW,Espanyol, La Liga,30,1.0,0.0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,FW,ESP,"FW,MF",Almería, La Liga,30,29.0,18.0,1472.0,16.4,4.0,3.0,7.0,3.0,1.0,1.0,5.0,1.0,3.8,3.1,3.4,6.4,62.0,47.0,115.0,0.24,0.18,0.43,0.18,0.37,0.23,0.21,0.44,0.19,0.39,FW,-28.0,-18.0,-1437.0
45,Gonzalo Escalante,ARG,MF,Cádiz, La Liga,29,14.0,13.0,1121.0,12.5,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,3.5,3.5,1.5,5.0,3.0,50.0,12.0,0.32,0.08,0.4,0.32,0.4,0.28,0.12,0.4,0.28,0.4,MF,ARG,MF,Cremonese, Serie A,29,9.0,7.0,555.0,6.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.2,0.4,3.0,30.0,8.0,0.0,0.16,0.16,0.0,0.16,0.03,0.04,0.07,0.03,0.07,MF,5.0,6.0,566.0
46,Wout Faes,BEL,DF,Reims, Ligue 1,24,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,BEL,DF,Leicester City, Premier League,24,31.0,31.0,2786.0,31.0,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,1.2,1.2,0.6,1.9,11.0,74.0,2.0,0.03,0.06,0.1,0.03,0.1,0.04,0.02,0.06,0.04,0.06,DF,-28.0,-28.0,-2516.0
47,Romain Faivre,FRA,MF,Lyon, Ligue 1,24,10.0,3.0,300.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,14.0,24.0,16.0,0.0,0.3,0.3,0.0,0.3,0.05,0.09,0.14,0.05,0.14,MF,FRA,"MF,FW",Lorient, Ligue 1,24,16.0,14.0,1246.0,13.8,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,2.7,2.7,2.1,4.8,77.0,67.0,66.0,0.36,0.22,0.58,0.36,0.58,0.19,0.15,0.34,0.19,0.34,MF,-6.0,-11.0,-946.0
48,Felipe,BRA,DF,Atlético Madrid, La Liga,33,3.0,2.0,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,DF,BRA,DF,Nott'ham Forest, Premier League,33,16.0,15.0,1418.0,15.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.9,2.1,3.0,22.0,4.0,0.0,0.06,0.06,0.0,0.06,0.07,0.06,0.13,0.07,0.13,DF,-13.0,-13.0,-1224.0
49,Joao Felix,POR,"FW,MF",Atlético Madrid, La Liga,22,14.0,7.0,650.0,7.2,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,2.6,2.6,1.4,4.0,17.0,27.0,42.0,0.55,0.42,0.97,0.55,0.97,0.36,0.2,0.56,0.36,0.56,FW,POR,"FW,MF",Chelsea, Premier League,22,16.0,11.0,941.0,10.5,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,4.9,4.9,0.5,5.4,34.0,47.0,79.0,0.38,0.0,0.38,0.38,0.38,0.47,0.05,0.52,0.47,0.52,FW,-2.0,-4.0,-291.0
50,Fernando,BRA,"MF,DF",Sevilla, La Liga,35,22.0,19.0,1577.0,17.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.7,0.9,6.0,67.0,13.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,MF,ESP,GK,Almería, La Liga,32,37.0,37.0,3285.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,-15.0,-18.0,-1708.0
51,Alex Ferrari,ITA,DF,Cremonese, Serie A,28,16.0,13.0,1007.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,2.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,DF,ITA,DF,Sampdoria, Serie A,28,12.0,10.0,868.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.4,0.5,7.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,DF,4.0,3.0,139.0
52,Wesley Fofana,FRA,DF,Chelsea, Premier League,21,15.0,12.0,1183.0,13.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.1,0.8,29.0,43.0,12.0,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.06,0.05,0.06,DF,FRA,DF,Leicester City, Premier League,21,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,DF,13.0,10.0,1003.0
53,Angelo Fulgini,FRA,MF,Mainz 05, Bundesliga,25,16.0,5.0,525.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.8,1.4,3.0,29.0,43.0,0.0,0.17,0.17,0.0,0.17,0.1,0.13,0.23,0.1,0.23,MF,FRA,"MF,FW",Lens, Ligue 1,25,17.0,12.0,858.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,2.7,4.0,20.0,43.0,70.0,0.1,0.1,0.21,0.1,0.21,0.13,0.29,0.42,0.13,0.42,MF,-1.0,-7.0,-333.0
54,Ignatius Ganago,CMR,FW,Lens, Ligue 1,23,4.0,0.0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,FW,CMR,"FW,MF",Nantes, Ligue 1,23,28.0,16.0,1520.0,16.9,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,3.7,3.7,1.7,5.4,27.0,20.0,101.0,0.3,0.18,0.47,0.3,0.47,0.22,0.1,0.32,0.22,0.32,FW,-24.0,-16.0,-1461.0
55,Morgan Gibbs-White,ENG,"MF,FW",Nott'ham Forest, Premier League,22,35.0,34.0,2971.0,33.0,5.0,8.0,13.0,3.0,2.0,2.0,5.0,0.0,6.0,4.4,8.2,12.7,69.0,131.0,157.0,0.15,0.24,0.39,0.09,0.33,0.18,0.25,0.43,0.13,0.38,MF,ENG,"FW,MF",Wolves, Premier League,22,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,4.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.36,0.04,0.4,0.36,0.4,FW,33.0,32.0,2791.0
56,Bryan Gil,ESP,"FW,DF",Sevilla, La Liga,21,17.0,10.0,918.0,10.2,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.9,2.9,0.7,3.5,28.0,22.0,75.0,0.2,0.2,0.39,0.2,0.39,0.28,0.07,0.35,0.28,0.35,FW,ESP,"MF,FW",Tottenham, Premier League,21,4.0,2.0,148.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,4.0,5.0,15.0,0.0,0.61,0.61,0.0,0.61,0.06,0.11,0.17,0.06,0.17,MF,13.0,8.0,770.0
57,Pierluigi Gollini,ITA,GK,Napoli, Serie A,27,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,ITA,GK,Fiorentina, Serie A,27,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,1.0,1.0,90.0
58,Nicolas Gonzalez,ESP,MF,Valencia, La Liga,20,26.0,18.0,1405.0,15.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,1.3,2.8,21.0,81.0,17.0,0.06,0.06,0.13,0.06,0.13,0.1,0.09,0.18,0.1,0.18,MF,ARG,"FW,MF",Fiorentina, Serie A,24,24.0,13.0,1354.0,15.0,6.0,1.0,7.0,4.0,2.0,2.0,3.0,0.0,6.7,5.4,1.3,6.7,37.0,70.0,112.0,0.4,0.07,0.47,0.27,0.33,0.45,0.09,0.53,0.36,0.45,FW,2.0,5.0,51.0
59,Anthony Gordon,ENG,FW,Everton, Premier League,21,16.0,12.0,1095.0,12.2,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,3.3,3.3,0.6,3.9,28.0,19.0,67.0,0.25,0.0,0.25,0.25,0.25,0.27,0.05,0.32,0.27,0.32,FW,ENG,"FW,MF",Newcastle Utd, Premier League,21,16.0,4.0,487.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.9,2.6,20.0,15.0,45.0,0.18,0.0,0.18,0.18,0.18,0.31,0.17,0.48,0.31,0.48,FW,0.0,8.0,608.0
60,Amine Gouiri,ALG,"FW,MF",Rennes, Ligue 1,22,33.0,29.0,2523.0,28.0,15.0,3.0,18.0,15.0,0.0,0.0,4.0,0.0,11.1,11.1,4.3,15.4,63.0,70.0,205.0,0.54,0.11,0.64,0.54,0.64,0.4,0.15,0.55,0.4,0.55,FW,ALG,"FW,MF",Nice, Ligue 1,22,3.0,3.0,226.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.8,8.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.23,0.1,0.33,0.23,0.33,FW,30.0,26.0,2297.0
61,Andrew Gravillon,GLP,DF,Reims, Ligue 1,24,13.0,12.0,1038.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.4,1.1,18.0,38.0,14.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,DF,GLP,DF,Torino, Serie A,24,7.0,4.0,312.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,6.0,8.0,726.0
62,Sergi Guardiola,ESP,FW,Cádiz, La Liga,31,17.0,14.0,1165.0,12.9,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,3.4,3.4,0.5,3.9,12.0,28.0,55.0,0.23,0.0,0.23,0.23,0.23,0.26,0.04,0.3,0.26,0.3,FW,ESP,FW,Valladolid, La Liga,31,14.0,8.0,502.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,1.2,7.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.18,0.03,0.21,0.18,0.21,FW,3.0,6.0,663.0
63,Pape Gueye,SEN,"MF,DF",Marseille, Ligue 1,23,14.0,4.0,492.0,5.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.9,1.6,9.0,31.0,13.0,0.18,0.18,0.37,0.18,0.37,0.13,0.16,0.29,0.13,0.29,MF,SEN,MF,Sevilla, La Liga,23,16.0,15.0,1171.0,13.0,1.0,3.0,4.0,1.0,0.0,0.0,6.0,3.0,1.3,1.3,1.2,2.4,9.0,59.0,27.0,0.08,0.23,0.31,0.08,0.31,0.1,0.09,0.18,0.1,0.18,MF,-2.0,-11.0,-679.0
64,Serhou Guirassy,GUI,FW,Stuttgart, Bundesliga,26,22.0,20.0,1646.0,18.3,11.0,0.0,11.0,9.0,2.0,2.0,4.0,1.0,10.8,9.2,1.4,10.6,20.0,30.0,97.0,0.6,0.0,0.6,0.49,0.49,0.59,0.08,0.67,0.5,0.58,FW,GUI,MF,Rennes, Ligue 1,26,1.0,0.0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.44,0.57,1.0,0.44,1.0,MF,21.0,20.0,1623.0
65,Koray Gunter,GER,DF,Sampdoria, Serie A,27,10.0,8.0,776.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,4.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,DF,GER,DF,Hellas Verona, Serie A,27,13.0,11.0,1003.0,11.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.9,1.9,7.0,36.0,3.0,0.09,0.0,0.09,0.09,0.09,0.08,0.08,0.17,0.08,0.17,DF,-3.0,-3.0,-227.0
66,Genki Haraguchi,JPN,MF,Union Berlin, Bundesliga,31,11.0,6.0,498.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,6.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.09,0.05,0.09,MF,JPN,MF,Stuttgart, Bundesliga,31,11.0,9.0,748.0,8.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,1.0,16.0,30.0,28.0,0.0,0.24,0.24,0.0,0.24,0.03,0.08,0.12,0.03,0.12,MF,0.0,-3.0,-250.0
67,Martin Hongla,CMR,"DF,MF",Valladolid, La Liga,24,16.0,15.0,1306.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.3,0.3,6.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,DF,CMR,MF,Hellas Verona, Serie A,24,9.0,6.0,523.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.3,0.5,6.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,MF,7.0,9.0,783.0
68,Ivan Ilic,SRB,MF,Torino, Serie A,21,14.0,13.0,1177.0,13.1,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.2,0.2,1.1,1.3,29.0,66.0,28.0,0.15,0.15,0.31,0.15,0.31,0.02,0.08,0.1,0.02,0.1,MF,SRB,MF,Hellas Verona, Serie A,21,11.0,10.0,851.0,9.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.0,1.4,18.0,39.0,20.0,0.0,0.11,0.11,0.0,0.11,0.04,0.1,0.14,0.04,0.14,MF,3.0,3.0,326.0
69,Emirhan Ilkhan,TUR,MF,Sampdoria, Serie A,18,8.0,0.0,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08,MF,TUR,MF,Torino, Serie A,18,4.0,1.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.14,0.05,0.14,MF,4.0,-1.0,26.0
70,Danny Ings,ENG,FW,Aston Villa, Premier League,30,18.0,8.0,824.0,9.2,6.0,0.0,6.0,4.0,2.0,2.0,3.0,0.0,5.3,3.8,1.2,5.0,15.0,12.0,46.0,0.66,0.0,0.66,0.44,0.44,0.59,0.13,0.71,0.41,0.54,FW,ENG,FW,West Ham, Premier League,30,17.0,7.0,775.0,8.6,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,4.0,9.0,12.0,44.0,0.23,0.23,0.46,0.23,0.46,0.35,0.12,0.47,0.35,0.47,FW,1.0,1.0,49.0
71,Alexander Isak,SWE,FW,Real Sociedad, La Liga,22,2.0,2.0,152.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,3.0,3.0,11.0,0.59,0.0,0.59,0.59,0.59,0.12,0.06,0.18,0.12,0.18,FW,SWE,FW,Newcastle Utd, Premier League,22,22.0,17.0,1522.0,16.9,10.0,1.0,11.0,8.0,2.0,2.0,3.0,0.0,8.2,6.7,2.2,8.9,41.0,48.0,122.0,0.59,0.06,0.65,0.47,0.53,0.49,0.13,0.62,0.4,0.52,FW,-20.0,-15.0,-1370.0
72,Daniel James,WAL,FW,Fulham, Premier League,24,20.0,5.0,621.0,6.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.7,1.7,0.7,2.5,24.0,15.0,48.0,0.29,0.14,0.43,0.29,0.43,0.25,0.11,0.36,0.25,0.36,FW,WAL,FW,Leeds United, Premier League,24,4.0,2.0,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.12,0.15,0.27,0.12,0.27,FW,16.0,3.0,423.0
73,Luis Javier Suarez,COL,FW,Marseille, Ligue 1,24,7.0,2.0,293.0,3.3,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.4,2.4,0.4,2.8,5.0,11.0,17.0,0.92,0.31,1.23,0.92,1.23,0.74,0.11,0.85,0.74,0.85,FW,COL,FW,Almería, La Liga,24,21.0,18.0,1490.0,16.6,4.0,4.0,8.0,4.0,0.0,0.0,4.0,1.0,4.4,4.4,2.1,6.5,29.0,26.0,87.0,0.24,0.24,0.48,0.24,0.48,0.26,0.13,0.39,0.26,0.39,FW,-14.0,-16.0,-1197.0
74,Jorginho,ITA,MF,Chelsea, Premier League,30,18.0,15.0,1279.0,14.2,2.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,1.7,0.1,0.4,0.5,13.0,80.0,10.0,0.14,0.0,0.14,0.0,0.0,0.12,0.03,0.14,0.01,0.03,MF,ITA,MF,Arsenal, Premier League,30,14.0,9.0,855.0,9.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,15.0,99.0,8.0,0.0,0.11,0.11,0.0,0.11,0.02,0.02,0.04,0.02,0.04,MF,4.0,6.0,424.0
75,Hamed Junior Traore,CIV,"MF,FW",Sassuolo, Serie A,22,11.0,6.0,591.0,6.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.8,2.7,14.0,26.0,36.0,0.0,0.46,0.46,0.0,0.46,0.15,0.27,0.41,0.15,0.41,MF,CIV,"FW,MF",Bournemouth, Premier League,22,7.0,5.0,427.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.1,2.1,19.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.19,0.24,0.43,0.19,0.43,FW,4.0,1.0,164.0
76,Sasa Kalajdzic,AUT,FW,Stuttgart, Bundesliga,25,3.0,3.0,233.0,2.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.6,1.1,0.0,4.0,13.0,0.0,1.16,1.16,0.0,1.16,0.19,0.24,0.44,0.19,0.44,FW,AUT,FW,Wolves, Premier League,25,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0.53,0.53,FW,2.0,2.0,188.0
77,Jakub Kiwior,POL,DF,Spezia, Serie A,22,17.0,17.0,1443.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.2,0.8,13.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,DF,POL,DF,Arsenal, Premier League,22,7.0,5.0,427.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,6.0,6.0,0.21,0.0,0.21,0.21,0.21,0.02,0.01,0.03,0.02,0.03,DF,10.0,12.0,1016.0
78,Filip Kostic,SRB,"DF,MF",Eint Frankfurt, Bundesliga,29,1.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11,DF,SRB,"DF,FW",Juventus, Serie A,29,37.0,33.0,2564.0,28.5,3.0,8.0,11.0,3.0,0.0,0.0,3.0,0.0,2.4,2.4,7.1,9.4,101.0,78.0,230.0,0.11,0.28,0.39,0.11,0.39,0.08,0.25,0.33,0.08,0.33,DF,-36.0,-32.0,-2490.0
79,Giorgos Kyriakopoulos,GRE,"FW,DF",Sassuolo, Serie A,26,12.0,9.0,766.0,8.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.4,2.5,17.0,32.0,46.0,0.12,0.12,0.23,0.12,0.23,0.13,0.17,0.29,0.13,0.29,FW,GRE,"DF,FW",Bologna, Serie A,26,12.0,8.0,704.0,7.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.8,1.0,21.0,23.0,50.0,0.0,0.26,0.26,0.0,0.26,0.03,0.1,0.13,0.03,0.13,DF,0.0,1.0,62.0
80,Gaetan Laborde,FRA,FW,Rennes, Ligue 1,28,4.0,3.0,249.0,2.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.7,1.7,0.2,1.9,8.0,5.0,20.0,0.72,0.0,0.72,0.72,0.72,0.62,0.07,0.69,0.62,0.69,FW,FRA,FW,Nice, Ligue 1,28,33.0,28.0,2506.0,27.8,13.0,3.0,16.0,13.0,0.0,1.0,0.0,0.0,11.8,11.0,5.8,16.9,54.0,53.0,196.0,0.47,0.11,0.57,0.47,0.57,0.42,0.21,0.63,0.4,0.61,FW,-29.0,-25.0,-2257.0
81,Sam Lammers,NED,FW,Empoli, Serie A,25,14.0,10.0,883.0,9.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.3,2.3,0.7,2.9,9.0,19.0,67.0,0.1,0.1,0.2,0.1,0.2,0.23,0.07,0.3,0.23,0.3,FW,NED,FW,Sampdoria, Serie A,25,19.0,13.0,1100.0,12.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,1.2,3.7,17.0,19.0,65.0,0.08,0.08,0.16,0.08,0.16,0.2,0.1,0.3,0.2,0.3,FW,-5.0,-3.0,-217.0
82,Armand Lauriente,FRA,FW,Lorient, Ligue 1,23,3.0,3.0,266.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,1.1,2.9,14.0,14.0,21.0,0.34,0.0,0.34,0.34,0.34,0.6,0.38,0.98,0.6,0.98,FW,FRA,FW,Sassuolo, Serie A,23,28.0,27.0,2175.0,24.2,7.0,6.0,13.0,6.0,1.0,1.0,10.0,1.0,4.7,3.9,6.2,10.1,127.0,90.0,263.0,0.29,0.25,0.54,0.25,0.5,0.19,0.26,0.45,0.16,0.42,FW,-25.0,-24.0,-1909.0
