,player,nation,pos,squad,comp,age,mp,starts,min,90s,gls,ast,g&a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg&xag,prgc,prgp,prgr,gls,ast,g&a,g_pk,g&a_pk,xg,xag,xg&xag,npxg,npxg&xag,agg_pos
836,Lewis Dunk,ENG,DF,Brighton, Premier League,30,36.0,36.0,3239.0,36.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.7,1.7,1.0,2.7,19.0,158.0,5.0,0.03,0.0,0.03,0.03,0.03,0.05,0.03,0.07,0.05,0.07,DF
837,Maxime Dupe,FRA,GK,Toulouse, Ligue 1,29,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK
838,Jhon Duran,COL,"FW,MF",Aston Villa, Premier League,18,12.0,0.0,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,4.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.37,0.02,0.39,0.37,0.39,FW
839,Pablo Duran,ESP,"MF,DF",Celta Vigo, La Liga,21,4.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
840,Julien Duranville,BEL,MF,Dortmund, Bundesliga,16,1.0,0.0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.83,0.89,0.06,0.89,MF
841,Hugo Duro,ESP,FW,Valencia, La Liga,22,30.0,12.0,1385.0,15.4,1.0,1.0,2.0,1.0,0.0,1.0,5.0,0.0,4.4,3.6,1.1,4.7,9.0,19.0,67.0,0.06,0.06,0.13,0.06,0.13,0.29,0.07,0.36,0.23,0.31,FW
842,Jean-Kevin Duverne,HAI,DF,Brest, Ligue 1,25,34.0,27.0,2515.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.8,1.2,80.0,149.0,134.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,DF
843,Paulo Dybala,ARG,"MF,FW",Roma, Serie A,28,25.0,21.0,1739.0,19.3,12.0,6.0,18.0,7.0,5.0,5.0,5.0,0.0,9.3,5.3,6.9,12.2,56.0,75.0,109.0,0.62,0.31,0.93,0.36,0.67,0.48,0.36,0.83,0.28,0.63,MF
844,Edin Dzeko,BIH,FW,Inter, Serie A,36,33.0,18.0,1732.0,19.2,9.0,3.0,12.0,9.0,0.0,0.0,3.0,0.0,9.7,9.7,3.2,13.0,32.0,67.0,150.0,0.47,0.16,0.62,0.47,0.62,0.5,0.17,0.67,0.5,0.67,FW
845,Malcolm Ebiowei,ENG,"MF,FW",Crystal Palace, Premier League,18,3.0,0.0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
846,Festy Ebosele,IRL,DF,Udinese, Serie A,19,17.0,4.0,411.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9,1.1,27.0,17.0,22.0,0.0,0.22,0.22,0.0,0.22,0.04,0.19,0.24,0.04,0.24,DF
847,Enzo Ebosse,CMR,DF,Udinese, Serie A,23,20.0,9.0,930.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,11.0,51.0,20.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,DF
848,Tyronne Ebuehi,NGA,DF,Empoli, Serie A,26,26.0,22.0,1923.0,21.4,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,3.1,3.1,1.9,5.0,31.0,41.0,42.0,0.09,0.19,0.28,0.09,0.28,0.14,0.09,0.23,0.14,0.23,DF
849,Ederson,BRA,GK,Manchester City, Premier League,28,35.0,35.0,3150.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,GK
850,Ederson,BRA,MF,Atalanta, Serie A,23,35.0,25.0,2215.0,24.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.3,4.2,37.0,93.0,62.0,0.04,0.04,0.08,0.04,0.08,0.08,0.09,0.17,0.08,0.17,MF
851,Odsonne Edouard,FRA,FW,Crystal Palace, Premier League,24,35.0,20.0,1803.0,20.0,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,4.2,4.2,1.2,5.4,29.0,32.0,100.0,0.25,0.1,0.35,0.25,0.35,0.21,0.06,0.27,0.21,0.27,FW
852,Samuel Edozie,ENG,"FW,MF",Southampton, Premier League,19,17.0,5.0,567.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.4,1.3,26.0,13.0,39.0,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.2,0.14,0.2,FW
853,Maximilian Eggestein,GER,MF,Freiburg, Bundesliga,25,31.0,27.0,2451.0,27.2,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.9,0.9,1.7,2.6,20.0,93.0,46.0,0.04,0.07,0.11,0.04,0.11,0.03,0.06,0.1,0.03,0.1,MF
854,Lilian Egloff,GER,"MF,FW",Stuttgart, Bundesliga,19,10.0,2.0,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.7,8.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.13,0.15,0.28,0.13,0.28,MF
855,Inigo Eguaras,ESP,MF,Almería, La Liga,30,25.0,10.0,967.0,10.7,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,0.6,1.7,8.0,61.0,7.0,0.09,0.09,0.19,0.09,0.19,0.1,0.06,0.16,0.1,0.16,MF
856,Kingsley Ehizibue,NED,DF,Udinese, Serie A,27,27.0,16.0,1535.0,17.1,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,2.0,2.0,0.9,3.0,29.0,40.0,69.0,0.12,0.0,0.12,0.12,0.12,0.12,0.06,0.17,0.12,0.17,DF
858,Kingsley Ehizibue,NED,DF,Köln, Bundesliga,27,1.0,1.0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,DF
859,Julian Eitschberger,GER,FW,Hertha BSC, Bundesliga,18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
860,Chidera Ejuke,NGA,"FW,MF",Hertha BSC, Bundesliga,24,20.0,9.0,890.0,9.9,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.3,2.7,38.0,39.0,67.0,0.0,0.3,0.3,0.0,0.3,0.15,0.13,0.28,0.15,0.28,FW
861,Albin Ekdal,SWE,MF,Spezia, Serie A,33,31.0,18.0,1734.0,19.3,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,2.9,2.9,1.6,4.4,15.0,80.0,35.0,0.0,0.1,0.1,0.0,0.1,0.15,0.08,0.23,0.15,0.23,MF
862,Hugo Ekitike,FRA,FW,Paris S-G, Ligue 1,20,25.0,12.0,1155.0,12.8,3.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,3.7,3.7,1.6,5.3,23.0,23.0,84.0,0.23,0.31,0.55,0.23,0.55,0.29,0.13,0.42,0.29,0.42,FW
863,Emmanuel Ekong,SWE,"FW,MF",Empoli, Serie A,20,2.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,FW
864,Anthony Elanga,SWE,FW,Manchester Utd, Premier League,20,16.0,5.0,426.0,4.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.6,12.0,8.0,28.0,0.0,0.21,0.21,0.0,0.21,0.15,0.19,0.34,0.15,0.34,FW
865,Alberth Elis,HON,"MF,FW",Brest, Ligue 1,26,10.0,2.0,257.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,8.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.18,0.06,0.24,0.18,0.24,MF
866,Mikael Ellertsson,ISL,"MF,DF",Spezia, Serie A,20,11.0,1.0,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.2,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,MF
867,Harvey Elliott,ENG,"MF,FW",Liverpool, Premier League,19,32.0,18.0,1613.0,17.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.1,2.1,3.6,5.7,54.0,142.0,129.0,0.06,0.11,0.17,0.06,0.17,0.12,0.2,0.32,0.12,0.32,MF
868,Elif Elmas,MKD,"FW,MF",Napoli, Serie A,22,36.0,14.0,1627.0,18.1,6.0,3.0,9.0,5.0,1.0,1.0,5.0,0.0,4.0,3.3,1.9,5.2,42.0,73.0,103.0,0.33,0.17,0.5,0.28,0.44,0.22,0.11,0.33,0.18,0.29,FW
869,Mohamed Elneny,EGY,MF,Arsenal, Premier League,30,5.0,1.0,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF
870,Aritz Elustondo,ESP,DF,Real Sociedad, La Liga,28,25.0,16.0,1449.0,16.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.7,0.7,1.1,1.8,21.0,52.0,19.0,0.0,0.06,0.06,0.0,0.06,0.04,0.07,0.11,0.04,0.11,DF
871,Nico Elvedi,SUI,DF,M'Gladbach, Bundesliga,25,32.0,32.0,2826.0,31.4,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.6,2.6,0.3,2.9,20.0,83.0,5.0,0.1,0.0,0.1,0.1,0.1,0.08,0.01,0.09,0.08,0.09,DF
872,Rodrigo Ely,BRA,DF,Almería, La Liga,28,36.0,36.0,3155.0,35.1,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,0.8,1.8,6.0,52.0,4.0,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,DF
873,Mohamed Elyounoussi,NOR,"MF,FW",Southampton, Premier League,27,33.0,27.0,2168.0,24.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,3.5,3.5,2.1,5.6,56.0,50.0,98.0,0.04,0.04,0.08,0.04,0.08,0.15,0.09,0.23,0.15,0.23,MF
874,Adri Embarba,ESP,"FW,MF",Almería, La Liga,30,29.0,18.0,1472.0,16.4,4.0,3.0,7.0,3.0,1.0,1.0,5.0,1.0,3.8,3.1,3.4,6.4,62.0,47.0,115.0,0.24,0.18,0.43,0.18,0.37,0.23,0.21,0.44,0.19,0.39,FW
875,Adri Embarba,ESP,FW,Espanyol, La Liga,30,1.0,0.0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,FW
876,Breel Embolo,SUI,FW,Monaco, Ligue 1,25,32.0,19.0,1859.0,20.7,12.0,2.0,14.0,12.0,0.0,1.0,3.0,0.0,8.5,7.6,3.2,10.8,24.0,52.0,159.0,0.58,0.1,0.68,0.58,0.68,0.41,0.16,0.57,0.37,0.52,FW
877,Emerson,BRA,DF,Tottenham, Premier League,23,26.0,20.0,1735.0,19.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.7,1.7,0.6,2.3,47.0,80.0,103.0,0.1,0.05,0.16,0.1,0.16,0.09,0.03,0.12,0.09,0.12,DF
878,Youssef En-Nesyri,MAR,FW,Sevilla, La Liga,25,31.0,17.0,1661.0,18.5,8.0,1.0,9.0,8.0,0.0,0.0,4.0,0.0,8.1,8.1,1.1,9.2,16.0,12.0,71.0,0.43,0.05,0.49,0.43,0.49,0.44,0.06,0.5,0.44,0.5,FW
879,Julio Enciso,PAR,"FW,MF",Brighton, Premier League,18,20.0,7.0,806.0,9.0,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,1.7,5.7,39.0,31.0,74.0,0.45,0.22,0.67,0.45,0.67,0.45,0.19,0.64,0.45,0.64,FW
880,Wataru Endo,JPN,MF,Stuttgart, Bundesliga,29,33.0,33.0,2922.0,32.5,5.0,4.0,9.0,5.0,0.0,0.0,3.0,0.0,3.8,3.8,4.7,8.5,32.0,171.0,67.0,0.15,0.12,0.28,0.15,0.28,0.12,0.15,0.26,0.12,0.26,MF
881,Arne Engels,BEL,MF,Augsburg, Bundesliga,18,18.0,18.0,1440.0,16.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.6,0.6,2.2,2.8,9.0,57.0,25.0,0.0,0.19,0.19,0.0,0.19,0.04,0.14,0.17,0.04,0.17,MF
882,Christian Eriksen,DEN,MF,Manchester Utd, Premier League,30,28.0,25.0,2048.0,22.8,1.0,8.0,9.0,1.0,0.0,0.0,3.0,0.0,5.0,5.0,4.2,9.2,23.0,164.0,66.0,0.04,0.35,0.4,0.04,0.4,0.22,0.19,0.4,0.22,0.4,MF
884,Martin Erlic,CRO,DF,Sassuolo, Serie A,24,28.0,26.0,2330.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.2,0.7,7.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,DF
885,Tjark Ernst,GER,GK,Hertha BSC, Bundesliga,19,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK
886,Gonzalo Escalante,ARG,MF,Cremonese, Serie A,29,9.0,7.0,555.0,6.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.2,0.4,3.0,30.0,8.0,0.0,0.16,0.16,0.0,0.16,0.03,0.04,0.07,0.03,0.07,MF
887,Gonzalo Escalante,ARG,MF,Cádiz, La Liga,29,14.0,13.0,1121.0,12.5,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,3.5,3.5,1.5,5.0,3.0,50.0,12.0,0.32,0.08,0.4,0.32,0.4,0.28,0.12,0.4,0.28,0.4,MF
888,Sergio Escudero,ESP,DF,Valladolid, La Liga,32,23.0,17.0,1439.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,1.8,3.3,17.0,40.0,37.0,0.06,0.0,0.06,0.06,0.06,0.09,0.11,0.2,0.09,0.2,DF
889,Alfonso Espino,URU,DF,Cádiz, La Liga,30,36.0,35.0,3122.0,34.7,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,1.5,1.5,4.2,5.7,53.0,107.0,129.0,0.0,0.12,0.12,0.0,0.12,0.04,0.12,0.16,0.04,0.16,DF
890,Bernardo Espinosa,COL,DF,Girona, La Liga,33,20.0,14.0,1225.0,13.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,0.0,1.2,8.0,36.0,3.0,0.07,0.07,0.15,0.07,0.15,0.09,0.0,0.09,0.09,0.09,DF
891,Salvatore Esposito,ITA,MF,Spezia, Serie A,21,15.0,10.0,971.0,10.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.7,0.7,1.5,2.2,4.0,51.0,11.0,0.09,0.0,0.09,0.09,0.09,0.06,0.14,0.21,0.06,0.21,MF
892,Maxime Esteve,FRA,DF,Montpellier, Ligue 1,20,23.0,18.0,1646.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.6,9.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,DF
893,Pervis Estupinan,ECU,DF,Brighton, Premier League,24,35.0,31.0,2675.0,29.7,1.0,5.0,6.0,1.0,0.0,0.0,4.0,0.0,1.7,1.7,5.4,7.1,91.0,157.0,183.0,0.03,0.17,0.2,0.03,0.2,0.06,0.18,0.24,0.06,0.24,DF
894,Jonny Evans,NIR,DF,Leicester City, Premier League,34,13.0,12.0,1051.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,6.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,DF
895,Edu Exposito,ESP,MF,Espanyol, La Liga,25,28.0,13.0,1160.0,12.9,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,0.9,0.9,2.4,3.3,19.0,72.0,59.0,0.16,0.16,0.31,0.16,0.31,0.07,0.18,0.25,0.07,0.25,MF
896,Eberechi Eze,ENG,"MF,FW",Crystal Palace, Premier League,24,38.0,30.0,2636.0,29.3,10.0,4.0,14.0,9.0,1.0,1.0,3.0,0.0,7.3,6.5,4.3,10.8,69.0,131.0,129.0,0.34,0.14,0.48,0.31,0.44,0.25,0.15,0.39,0.22,0.37,MF
897,Kimberly Ezekwem,GER,DF,Freiburg, Bundesliga,21,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
898,Nicolas Ezequiel Fernandez,ARG,"MF,DF",Elche, La Liga,22,18.0,3.0,514.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.8,1.2,21.0,29.0,53.0,0.0,0.18,0.18,0.0,0.18,0.07,0.14,0.22,0.07,0.22,MF
899,Abdessamad Ezzalzouli,MAR,"FW,MF",Osasuna, La Liga,20,28.0,19.0,1504.0,16.7,4.0,2.0,6.0,4.0,0.0,0.0,4.0,2.0,2.7,2.7,1.9,4.6,93.0,44.0,136.0,0.24,0.12,0.36,0.24,0.36,0.16,0.11,0.27,0.16,0.27,FW
900,Lukasz Fabianski,POL,GK,West Ham, Premier League,37,36.0,36.0,3111.0,34.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK
901,Fabinho,BRA,MF,Liverpool, Premier League,28,36.0,31.0,2671.0,29.7,0.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,0.7,0.7,2.1,2.9,15.0,161.0,39.0,0.0,0.07,0.07,0.0,0.07,0.02,0.07,0.1,0.02,0.1,MF
902,Fabio,BRA,"DF,MF",Nantes, Ligue 1,32,6.0,3.0,224.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.6,0.8,4.0,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.08,0.24,0.32,0.08,0.32,DF
903,Noah Fadiga,SEN,DF,Brest, Ligue 1,22,21.0,16.0,1308.0,14.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,43.0,63.0,36.0,0.07,0.0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,DF
904,Wout Faes,BEL,DF,Leicester City, Premier League,24,31.0,31.0,2786.0,31.0,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,1.2,1.2,0.6,1.9,11.0,74.0,2.0,0.03,0.06,0.1,0.03,0.1,0.04,0.02,0.06,0.04,0.06,DF
905,Wout Faes,BEL,DF,Reims, Ligue 1,24,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
906,Nicolo Fagioli,ITA,MF,Juventus, Serie A,21,26.0,17.0,1520.0,16.9,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,1.5,1.5,1.3,2.8,27.0,56.0,56.0,0.18,0.18,0.36,0.18,0.36,0.09,0.08,0.17,0.09,0.17,MF
907,Ralf Fahrmann,GER,GK,Schalke 04, Bundesliga,33,12.0,12.0,1025.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK
908,Romain Faivre,FRA,"MF,FW",Lorient, Ligue 1,24,16.0,14.0,1246.0,13.8,5.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,2.7,2.7,2.1,4.8,77.0,67.0,66.0,0.36,0.22,0.58,0.36,0.58,0.19,0.15,0.34,0.19,0.34,MF
910,Romain Faivre,FRA,MF,Lyon, Ligue 1,24,10.0,3.0,300.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,14.0,24.0,16.0,0.0,0.3,0.3,0.0,0.3,0.05,0.09,0.14,0.05,0.14,MF
911,Radamel Falcao,COL,"FW,MF",Rayo Vallecano, La Liga,36,27.0,3.0,616.0,6.8,2.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,2.9,2.1,0.1,2.2,2.0,14.0,53.0,0.29,0.0,0.29,0.15,0.15,0.42,0.01,0.43,0.3,0.32,FW
912,Wladimiro Falcone,ITA,GK,Lecce, Serie A,27,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,GK
913,Fali,ESP,"DF,MF",Cádiz, La Liga,28,25.0,22.0,1714.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,0.2,0.8,9.0,56.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,DF
914,Fallou Fall,SEN,DF,Reims, Ligue 1,18,1.0,0.0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
915,Mamadou Fall,SEN,DF,Villarreal, La Liga,19,1.0,0.0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF
916,Davide Faraoni,ITA,DF,Hellas Verona, Serie A,30,23.0,19.0,1485.0,16.5,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,2.7,2.7,1.0,3.7,11.0,54.0,33.0,0.12,0.18,0.3,0.12,0.3,0.17,0.06,0.23,0.17,0.23,DF
917,Ansu Fati,ESP,FW,Barcelona, La Liga,19,36.0,12.0,1393.0,15.5,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,9.1,9.1,1.7,10.7,47.0,48.0,178.0,0.45,0.19,0.65,0.45,0.65,0.59,0.11,0.69,0.59,0.69,FW
918,Khalil Fayad,FRA,MF,Montpellier, Ligue 1,18,24.0,7.0,718.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,1.4,1.9,9.0,22.0,11.0,0.0,0.25,0.25,0.0,0.25,0.06,0.17,0.24,0.06,0.24,MF
919,Cheikh Faye,SEN,FW,Montpellier, Ligue 1,23,2.0,0.0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
920,Federico Fazio,ARG,DF,Salernitana, Serie A,35,14.0,12.0,1074.0,11.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.7,0.7,0.1,0.8,13.0,40.0,4.0,0.08,0.0,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07,DF
921,Jacopo Fazzini,ITA,MF,Empoli, Serie A,19,21.0,8.0,825.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.9,1.9,11.0,21.0,40.0,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.2,0.11,0.2,MF
922,Zouhair Feddal,MAR,DF,Valladolid, La Liga,33,8.0,4.0,375.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,DF
923,Nabil Fekir,FRA,MF,Betis, La Liga,29,15.0,12.0,961.0,10.7,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,2.4,1.6,2.7,4.4,42.0,41.0,76.0,0.19,0.19,0.37,0.09,0.28,0.23,0.26,0.48,0.15,0.41,MF
924,Felipe,BRA,DF,Nott'ham Forest, Premier League,33,16.0,15.0,1418.0,15.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.9,2.1,3.0,22.0,4.0,0.0,0.06,0.06,0.0,0.06,0.07,0.06,0.13,0.07,0.13,DF
925,Felipe,BRA,DF,Atlético Madrid, La Liga,33,3.0,2.0,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,DF
926,Luiz Felipe,ITA,DF,Betis, La Liga,25,23.0,22.0,1763.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.2,0.2,0.3,0.5,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,DF
927,Joao Felix,POR,"FW,MF",Chelsea, Premier League,22,16.0,11.0,941.0,10.5,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,4.9,4.9,0.5,5.4,34.0,47.0,79.0,0.38,0.0,0.38,0.38,0.38,0.47,0.05,0.52,0.47,0.52,FW
928,Joao Felix,POR,"FW,MF",Atlético Madrid, La Liga,22,14.0,7.0,650.0,7.2,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,2.6,2.6,1.4,4.0,17.0,27.0,42.0,0.55,0.42,0.97,0.55,0.97,0.36,0.2,0.56,0.36,0.56,FW
929,Ohis Felix Uduokhai,GER,DF,Augsburg, Bundesliga,24,19.0,16.0,1450.0,16.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.3,0.3,0.3,0.6,12.0,52.0,5.0,0.0,0.06,0.06,0.0,0.06,0.02,0.02,0.04,0.02,0.04,DF
